gene	log2FC	pvalue	adj_pvalue	significant
PTH1R	-1.73888040280056	1.66852850156459e-05	0.0618857221230308	FALSE
ABHD3	-2.36171101763466	1.6994514311245e-05	0.0630326535804078	FALSE
KBTBD12	-2.82995872618747	1.7955307277086e-05	0.066596234690712	FALSE
SLC2A9	-4.35626229639163	1.82869146762426e-05	0.0678261665341838	FALSE
ST8SIA6	-2.74127715798589	1.88296513964166e-05	0.0698391770293093	FALSE
ITPR1	-3.71015107955137	1.91766165905412e-05	0.0711260709343171	FALSE
LINC01117	6.85856649445435	2.08525906187979e-05	0.0773422586051215	FALSE
MT-ND3	-5.51962210681122	2.19400691159951e-05	0.0813757163512258	FALSE
RRAS2	-1.74345353878781	2.26674414709184e-05	0.0840735404156365	FALSE
ARHGAP12	-2.19757841917531	2.27496627218665e-05	0.0843784990354027	FALSE
ENSG00000288696	-2.7677171540569	2.48102694440919e-05	0.0920212893681367	FALSE
IQCH	-1.77199517331727	2.68541138839e-05	0.0996019083953851	FALSE
MKNK1	-2.63815927214956	2.69507194088647e-05	0.099960218287479	FALSE
DEPDC1B	-1.21360070963429	2.74387245730335e-05	0.101770229441381	FALSE
SRGAP2B	-3.71652597133189	2.85420761888699e-05	0.105862560584518	FALSE
KIAA1549	-2.7146153825856	2.86444458538375e-05	0.106242249671883	FALSE
LINC01358	4.21909067289061	3.18829554510013e-05	0.118253881767764	FALSE
RCBTB2	-1.72582916857346	3.50924367595165e-05	0.130157847941047	FALSE
LINC01470	-1.28267135994785	3.5973279239082e-05	0.133424892697755	FALSE
SH2B3	-1.09944702370961	3.67449970583622e-05	0.136287194089465	FALSE
RAB37	-1.89008739171491	3.71367145509631e-05	0.137740074269522	FALSE
ELAPOR1	-1.43717315693471	3.74000585321036e-05	0.138716817095572	FALSE
LINC00937	-1.14521817517968	3.860719991196e-05	0.14319410447346	FALSE
CBL	-6.2368369818099	3.95715601361925e-05	0.146770916545138	FALSE
LYPD6B	-1.00096784992226	3.97111780334485e-05	0.14728875932606	FALSE
ENSG00000250237	-1.50728666762232	3.99918175636041e-05	0.148329651343408	FALSE
HUNK	-1.08373765551351	4.14234757075878e-05	0.153639671399443	FALSE
ZNF618	-7.42683388666384	4.27534266691162e-05	0.158572459515752	FALSE
ANXA2	-1.86269985353269	4.38157340435275e-05	0.162512557567443	FALSE
PTCHD1	-6.02513356109174	4.6826785606491e-05	0.173680547814475	FALSE
MIR222HG	-3.53579342173903	4.71549110055855e-05	0.174897564919717	FALSE
UNC13C	2.33131861040369	4.83206012783599e-05	0.179221110141437	FALSE
CYP1B1-AS1	-4.6470138719062	4.96862629697852e-05	0.184286349354933	FALSE
EGF	-6.98342290874122	5.21646280672882e-05	0.193478605501572	FALSE
LAMA3	-2.20984082178453	5.23460654014991e-05	0.19415155657416	FALSE
SLC2A3	-4.75326835473685	5.25281006484178e-05	0.194826725304982	FALSE
IPCEF1	-3.70366929962661	5.27107356575931e-05	0.195504118554013	FALSE
PLAGL1	-3.45501109495059	5.84780692784956e-05	0.21689515895394	FALSE
ENSG00000267284	-4.74412277950692	6.329917371249e-05	0.234776635299625	FALSE
ZNF804B	4.6773144610888	6.89652719992105e-05	0.255792193845072	FALSE
MYH11	-5.59858455164705	7.33384664860335e-05	0.272012372196698	FALSE
